receita_id,receita_id _Validação,itens_id,quantidade,usuario_email,admin_acesso,custo_total_receita,t_validacao_duplicidade_adicionar,quantidade_duplicado,nome,custo_insumo,quantidade_insumo,insumo_receita_itens,custo_receita,custo_total_r,unidade_medida,tipo_insumo,custo_subproduto,quantidade_subproduto,custo_receita_subproduto,nome copy
U5LROhqESyu9-cG9GgUzJQ,U5LROhqESyu9-cG9GgUzJQ,UzB92NUZTK2lcQAO.b09rg,300,teste@teste.com,Admin,0,U5LROhqESyu9-cG9GgUzJQUzB92NUZTK2lcQAO.b09rg,2,,,,,,,,,,,,
h-HHKjmRRZKjmD2H5DRxBA,,un6C9Ow2QpKlef5YzqGiag,200,teste@teste.com,Admin,0,h-HHKjmRRZKjmD2H5DRxBAun6C9Ow2QpKlef5YzqGiag,1,,,,,,,,,,,,
ZUIwTG3KR3uwGI8JJr2nyw,,UzB92NUZTK2lcQAO.b09rg,100,teste@teste.com,Admin,0,ZUIwTG3KR3uwGI8JJr2nywUzB92NUZTK2lcQAO.b09rg,1,,,,,,,,,,,,
SYOWPNR6Sl6RtLic-fWeXg,,un6C9Ow2QpKlef5YzqGiag,100,teste@teste.com,Admin,0,SYOWPNR6Sl6RtLic-fWeXgun6C9Ow2QpKlef5YzqGiag,1,,,,,,,,,,,,
SYOWPNR6Sl6RtLic-fWeXg,,6gcutZytRLOIijMzN1HfTg,100,teste@teste.com,Admin,0,SYOWPNR6Sl6RtLic-fWeXg6gcutZytRLOIijMzN1HfTg,1,,,,,,,,,,,,
SYOWPNR6Sl6RtLic-fWeXg,,OZjrm86-R4uoSCSvtEp.cQ,100,teste@teste.com,Admin,0,SYOWPNR6Sl6RtLic-fWeXgOZjrm86-R4uoSCSvtEp.cQ,1,,,,,,,,,,,,
4LH5dd1QS1qkP0QfsPFFqA,,6gcutZytRLOIijMzN1HfTg,395,teste@teste.com,Admin,0,4LH5dd1QS1qkP0QfsPFFqA6gcutZytRLOIijMzN1HfTg,1,,,,,,,,,,,,
auGtNvjNT-iUOC1Bqps5qA,auGtNvjNT-iUOC1Bqps5qA,ZEi2IaygRseXdVn8rGFMlg,4,teste2@teste2.com,Admin,0,auGtNvjNT-iUOC1Bqps5qAZEi2IaygRseXdVn8rGFMlg,1,,,,,,,,,,,,
,,ZEi2IaygRseXdVn8rGFMlg,790,teste2@teste2.com,Admin,"4,2248",ZEi2IaygRseXdVn8rGFMlg,1,,,,,,,,,,,,
,,MmrIYktHQIutcfPNyP7V9Q,790,teste2@teste2.com,Admin,"4,2248",MmrIYktHQIutcfPNyP7V9Q,1,,,,,,,,,,,,
iVmR6bt3Q6Cl7gF1H-WJQg,iVmR6bt3Q6Cl7gF1H-WJQg,MmrIYktHQIutcfPNyP7V9Q,790,teste2@teste2.com,Admin,0,iVmR6bt3Q6Cl7gF1H-WJQgMmrIYktHQIutcfPNyP7V9Q,1,,,,,,,,,,,,
iVmR6bt3Q6Cl7gF1H-WJQg,iVmR6bt3Q6Cl7gF1H-WJQg,FDtSFWdiR7u.IMV3x-VkPg,24,teste2@teste2.com,Admin,0,iVmR6bt3Q6Cl7gF1H-WJQgFDtSFWdiR7u.IMV3x-VkPg,1,,,,,,,,,,,,
iVmR6bt3Q6Cl7gF1H-WJQg,iVmR6bt3Q6Cl7gF1H-WJQg,6OV3Kh9FTfW.xRMPJtsKgQ,102,teste2@teste2.com,Admin,0,iVmR6bt3Q6Cl7gF1H-WJQg6OV3Kh9FTfW.xRMPJtsKgQ,1,,,,,,,,,,,,
iVmR6bt3Q6Cl7gF1H-WJQg,iVmR6bt3Q6Cl7gF1H-WJQg,klafjt-aT86bVmSzkTrB-A,340,teste2@teste2.com,Admin,0,iVmR6bt3Q6Cl7gF1H-WJQgklafjt-aT86bVmSzkTrB-A,1,,,,,,,,,,,,
iVmR6bt3Q6Cl7gF1H-WJQg,iVmR6bt3Q6Cl7gF1H-WJQg,ztmGnwyDR.iTJpKz-PlIWw,10,teste2@teste2.com,Admin,0,iVmR6bt3Q6Cl7gF1H-WJQgztmGnwyDR.iTJpKz-PlIWw,1,,,,,,,,,,,,
U5LROhqESyu9-cG9GgUzJQ,U5LROhqESyu9-cG9GgUzJQ,UzB92NUZTK2lcQAO.b09rg,300,teste@teste.com,Admin,0,U5LROhqESyu9-cG9GgUzJQUzB92NUZTK2lcQAO.b09rg,2,,,,,,,,,,,,
U5LROhqESyu9-cG9GgUzJQ,U5LROhqESyu9-cG9GgUzJQ,OZjrm86-R4uoSCSvtEp.cQ,300,teste@teste.com,Admin,0,U5LROhqESyu9-cG9GgUzJQOZjrm86-R4uoSCSvtEp.cQ,1,,,,,,,,,,,,
8ylIFtPnTmG1MIGh02hwug,8ylIFtPnTmG1MIGh02hwug,un6C9Ow2QpKlef5YzqGiag,100,teste@teste.com,Admin,0,8ylIFtPnTmG1MIGh02hwugun6C9Ow2QpKlef5YzqGiag,2,,,,,,,,,,,,
8ylIFtPnTmG1MIGh02hwug,8ylIFtPnTmG1MIGh02hwug,un6C9Ow2QpKlef5YzqGiag,100,alexeynogueira@hotmail.com,Admin,0,8ylIFtPnTmG1MIGh02hwugun6C9Ow2QpKlef5YzqGiag,2,,,,,,,,,,,,
8ylIFtPnTmG1MIGh02hwug,8ylIFtPnTmG1MIGh02hwug,6gcutZytRLOIijMzN1HfTg,395,teste@teste.com,Admin,0,8ylIFtPnTmG1MIGh02hwug6gcutZytRLOIijMzN1HfTg,1,,,,,,,,,,,,
qsnJivG0S.K8LZZT1CpOpw,qsnJivG0S.K8LZZT1CpOpw,PxK-Z34vSzCuevx6Tb5KgA,250,teste3@teste3.com,Admin,0,qsnJivG0S.K8LZZT1CpOpwPxK-Z34vSzCuevx6Tb5KgA,1,,,,,,,,,,,,
qsnJivG0S.K8LZZT1CpOpw,qsnJivG0S.K8LZZT1CpOpw,6auNwhKZS9a1Vd0WF32EWw,160,teste3@teste3.com,Admin,0,qsnJivG0S.K8LZZT1CpOpw6auNwhKZS9a1Vd0WF32EWw,1,,,,,,,,,,,,
qsnJivG0S.K8LZZT1CpOpw,qsnJivG0S.K8LZZT1CpOpw,cbaG7AjXRIK99euZezMXMA,3,teste3@teste3.com,Admin,0,qsnJivG0S.K8LZZT1CpOpwcbaG7AjXRIK99euZezMXMA,1,,,,,,,,,,,,
qsnJivG0S.K8LZZT1CpOpw,qsnJivG0S.K8LZZT1CpOpw,vLqkizeKSx2yBhPqJc1jlQ,250,teste3@teste3.com,Admin,0,qsnJivG0S.K8LZZT1CpOpwvLqkizeKSx2yBhPqJc1jlQ,1,,,,,,,,,,,,
qsnJivG0S.K8LZZT1CpOpw,qsnJivG0S.K8LZZT1CpOpw,B5JNgLJrTZC8lDKk6YVlcQ,20,teste3@teste3.com,Admin,0,qsnJivG0S.K8LZZT1CpOpwB5JNgLJrTZC8lDKk6YVlcQ,1,,,,,,,,,,,,
q4zT1QoUuxw9Vbm6B5hU,q4zT1QoUuxw9Vbm6B5hU,zxLf0HBVRdWzG.iO0OJFHg,500,teste3@teste3.com,Admin,0,q4zT1QoUuxw9Vbm6B5hUzxLf0HBVRdWzG.iO0OJFHg,1,,,,,,,,,,,,
q4zT1QoUuxw9Vbm6B5hU,q4zT1QoUuxw9Vbm6B5hU,cbaG7AjXRIK99euZezMXMA,3,teste3@teste3.com,Admin,0,q4zT1QoUuxw9Vbm6B5hUcbaG7AjXRIK99euZezMXMA,1,,,,,,,,,,,,
q4zT1QoUuxw9Vbm6B5hU,q4zT1QoUuxw9Vbm6B5hU,a-M8BJO60QcK994Fc7J8aWA,550,teste3@teste3.com,Admin,0,q4zT1QoUuxw9Vbm6B5hUa-M8BJO60QcK994Fc7J8aWA,1,,,,,,,,,,,,
q4zT1QoUuxw9Vbm6B5hU,q4zT1QoUuxw9Vbm6B5hU,vLqkizeKSx2yBhPqJc1jlQ,450,teste3@teste3.com,Admin,0,q4zT1QoUuxw9Vbm6B5hUvLqkizeKSx2yBhPqJc1jlQ,1,,,,,,,,,,,,
q4zT1QoUuxw9Vbm6B5hU,q4zT1QoUuxw9Vbm6B5hU,PxK-Z34vSzCuevx6Tb5KgA,150,teste3@teste3.com,Admin,0,q4zT1QoUuxw9Vbm6B5hUPxK-Z34vSzCuevx6Tb5KgA,1,,,,,,,,,,,,
q4zT1QoUuxw9Vbm6B5hU,q4zT1QoUuxw9Vbm6B5hU,O8.at-C4TA-9rUpm0OSMug,200,teste3@teste3.com,Admin,0,q4zT1QoUuxw9Vbm6B5hUO8.at-C4TA-9rUpm0OSMug,1,,,,,,,,,,,,
q4zT1QoUuxw9Vbm6B5hU,q4zT1QoUuxw9Vbm6B5hU,B5JNgLJrTZC8lDKk6YVlcQ,25,teste3@teste3.com,Admin,0,q4zT1QoUuxw9Vbm6B5hUB5JNgLJrTZC8lDKk6YVlcQ,1,,,,,,,,,,,,
q4zT1QoUuxw9Vbm6B5hU,q4zT1QoUuxw9Vbm6B5hU,sqtz0w-UQPChZTSOCkk7Nw,300,teste3@teste3.com,Admin,0,q4zT1QoUuxw9Vbm6B5hUsqtz0w-UQPChZTSOCkk7Nw,1,,,,,,,,,,,,
pqENH9bhQ0ynqdyJvQdpWA,,6eoeaMbPQ0yzXfGfY8uB5A,100,jvmattosmerched@gmail.com,Admin,0,pqENH9bhQ0ynqdyJvQdpWA6eoeaMbPQ0yzXfGfY8uB5A,1,,,,,,,,,,,,
pqENH9bhQ0ynqdyJvQdpWA,,RVsmjR17ReC4feUNfSsXig,1,jvmattosmerched@gmail.com,Admin,0,pqENH9bhQ0ynqdyJvQdpWARVsmjR17ReC4feUNfSsXig,1,,,,,,,,,,,,
btP7h7e3QUWmE3CYLvF.eA,,RVsmjR17ReC4feUNfSsXig,790,jvmattosmerched@gmail.com,Admin,0,btP7h7e3QUWmE3CYLvF.eARVsmjR17ReC4feUNfSsXig,1,,,,,,,,,,,,
btP7h7e3QUWmE3CYLvF.eA,,doXTEoeCQsOxT0xvuhEruQ,24,jvmattosmerched@gmail.com,Admin,0,btP7h7e3QUWmE3CYLvF.eAdoXTEoeCQsOxT0xvuhEruQ,1,,,,,,,,,,,,
btP7h7e3QUWmE3CYLvF.eA,,6eoeaMbPQ0yzXfGfY8uB5A,102,jvmattosmerched@gmail.com,Admin,0,btP7h7e3QUWmE3CYLvF.eA6eoeaMbPQ0yzXfGfY8uB5A,1,,,,,,,,,,,,
btP7h7e3QUWmE3CYLvF.eA,,24J01SVFRi-DN-OsHpyEJA,340,jvmattosmerched@gmail.com,Admin,0,btP7h7e3QUWmE3CYLvF.eA24J01SVFRi-DN-OsHpyEJA,1,,,,,,,,,,,,
btP7h7e3QUWmE3CYLvF.eA,,ckdTta6LQuWEXC8YiCgjEA,10,jvmattosmerched@gmail.com,Admin,0,btP7h7e3QUWmE3CYLvF.eAckdTta6LQuWEXC8YiCgjEA,1,,,,,,,,,,,,
Jnu2ox2DR-6lCaiAjkDHaA,,6gcutZytRLOIijMzN1HfTg,100,isabelleite2020@outlook.com,Admin,0,Jnu2ox2DR-6lCaiAjkDHaA6gcutZytRLOIijMzN1HfTg,1,,,,,,,,,,,,
Jnu2ox2DR-6lCaiAjkDHaA,,ZzFa71yIR.GQBCpkoE1ozA,1,isabelleite2020@outlook.com,Admin,0,Jnu2ox2DR-6lCaiAjkDHaAZzFa71yIR.GQBCpkoE1ozA,1,,,,,,,,,,,,
Jnu2ox2DR-6lCaiAjkDHaA,,3ToQe25HSyK0EopFTuEQtw,50,isabelleite2020@outlook.com,Admin,0,Jnu2ox2DR-6lCaiAjkDHaA3ToQe25HSyK0EopFTuEQtw,1,,,,,,,,,,,,
2BcBGXGIQHacNaraehESRA,,apFGUhFJTxyLwqJfvuKZrA,5000,Vitoroliveiravfo@gmail.com,Admin,0,2BcBGXGIQHacNaraehESRAapFGUhFJTxyLwqJfvuKZrA,1,,,,,,,,,,,,
2BcBGXGIQHacNaraehESRA,,LYOICwzGeNer6bL0Cbfi,1,Vitoroliveiravfo@gmail.com,Admin,0,2BcBGXGIQHacNaraehESRALYOICwzGeNer6bL0Cbfi,1,,,,,,,,,,,,
E7GUJHtlSmGBf2ma7.40Ww,,IejU3vZIRGKY2QmIAMAHoA,5000,Vitoroliveiravfo@gmail.com,Admin,0,E7GUJHtlSmGBf2ma7.40WwIejU3vZIRGKY2QmIAMAHoA,1,,,,,,,,,,,,
GyyjihwvRU2wG7pZl.SPcg,,K6hfaNT0TdqgRpU2MlmivQ,5000,Vitoroliveiravfo@gmail.com,Admin,0,GyyjihwvRU2wG7pZl.SPcgK6hfaNT0TdqgRpU2MlmivQ,1,,,,,,,,,,,,
GyyjihwvRU2wG7pZl.SPcg,,LM27U2IeaEKIDliia5vh,100,Vitoroliveiravfo@gmail.com,Admin,0,GyyjihwvRU2wG7pZl.SPcgLM27U2IeaEKIDliia5vh,1,,,,,,,,,,,,
GyyjihwvRU2wG7pZl.SPcg,,BFOmcXOECjUl2WxwEz9v,"0,5",Vitoroliveiravfo@gmail.com,Admin,0,GyyjihwvRU2wG7pZl.SPcgBFOmcXOECjUl2WxwEz9v,1,,,,,,,,,,,,
,,P4YgoYGnQgePKBgbaaIYhA,,trembomdeminas01@gmail.com,Admin,"4,2248",P4YgoYGnQgePKBgbaaIYhA,2,Arroz,10,2,Arroz,,,,,,,,
