🔒 Row ID,usuario_email,admin_acesso,nome,preco_venda,rendimento_receita,ticket_medio,ticket_medio copy,preco_medio,custo_total_receita,cmv,cmv_porcentagem,cmv_porcentagem copy copy,t_cmv,produto_p_pedido,despesa_variavel,margem_cont,margem_cont_porcentagem,t_margem_cont,t_margem_cont copy,R_margem_cliente,R_margem_cliente_a,R_margem_media,R_margem_media_cliente,custo_subproduto,status,preco_venda copy,preco_venda copy cli,preco_venda_status_ativo,if_margem_media,if_margem_media_cli,if_margem_media_ativo,if_margem_media_ativo_cli,R_margem_media copy,R_margem_media copy copy,margem_cont_porcentagem_ativo,cmv_porcentagem_ativo,cmv_porcentagem_ativo copy
8ylIFtPnTmG1MIGh02hwug,teste@teste.com,Admin,Bolo,"23,9",1,44,"144,32","33,8664516129",0,0,0,"34,3277773256","R$ 0,00 (0,00%)","1,2992208485",5,"22,705",95,"R$ 22,71 (95,00%)","R$ 22,71 (95,00%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
U5LROhqESyu9-cG9GgUzJQ,teste@teste.com,Admin,Parmegianna,"29,9",1,44,"144,32","33,8664516129",0,0,0,"34,3277773256","R$ 0,00 (0,00%)","1,2992208485",5,"28,405",95,"R$ 28,40 (95,00%)","R$ 28,40 (95,00%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
p1BM2c.wS0C3zRLmimgaTA,abc@abc.com,Admin,Bolo,17,1,44,"144,32","33,8664516129",,,,"34,3277773256", (),"1,2992208485",5,"16,15",95,"R$ 16,15 (95,00%)",,"636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
auGtNvjNT-iUOC1Bqps5qA,teste2@teste2.com,Admin,bolo de morango,24,1,44,"144,32","33,8664516129",0,0,0,"34,3277773256","R$ 0,00 (0,00%)","1,2992208485",5,"22,8",95,"R$ 22,80 (95,00%)","R$ 22,80 (95,00%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
iVmR6bt3Q6Cl7gF1H-WJQg,teste2@teste2.com,Admin,Palha Italiana,15,10,44,"144,32","33,8664516129",0,0,0,"34,3277773256","R$ 0,00 (0,00%)","1,2992208485",5,"14,25",95,"R$ 14,25 (95,00%)","R$ 14,25 (95,00%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
qsnJivG0S.K8LZZT1CpOpw,teste3@teste3.com,Admin,bolo simples,50,1,44,"144,32","33,8664516129",0,0,0,"34,3277773256","R$ 0,00 (0,00%)","1,2992208485",5,"47,5",95,"R$ 47,50 (95,00%)","R$ 47,50 (95,00%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
q4zT1QoUuxw9Vbm6B5hU,teste3@teste3.com,Admin,bolo de chocolate,73,1,44,"144,32","33,8664516129",0,0,0,"34,3277773256","R$ 0,00 (0,00%)","1,2992208485",5,"69,35",95,"R$ 69,35 (95,00%)","R$ 69,35 (95,00%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
ey6U2q.ISc2oUmiEi9Zkpw,jvmattosmerched@gmail.com,Admin,Palha Italiana Tradicional,15,10,44,"144,32","33,8664516129","28,23684","2,823684","18,82456","34,3277773256","R$ 2,82 (18,82%)","1,2992208485",5,"11,426316","76,17544","R$ 11,43 (76,18%)","R$ 11,43 (76,18%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
HHRRHQCsTAykVFPxKxp7lw,trembomdeminas01@gmail.com,Admin,PF Frango,30,1,44,"144,32","33,8664516129",0,0,0,"34,3277773256","R$ 0,00 (0,00%)","1,2992208485",5,"28,5",95,"R$ 28,50 (95,00%)","R$ 28,50 (95,00%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
P3alwmXXSUK6xKATpX5GGg,jvmattosmerched@gmail.com,Admin,test,30,1,44,"144,32","33,8664516129",0,0,0,"34,3277773256","R$ 0,00 (0,00%)","1,2992208485",5,"28,5",95,"R$ 28,50 (95,00%)","R$ 28,50 (95,00%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
U5JPX.TAS7CsWDCdBkdtjA,Vitoroliveiravfo@gmail.com,Admin,test duplicar,15,1,44,"144,32","33,8664516129","9,99","9,99","66,6","34,3277773256","R$ 9,99 (66,60%)","1,2992208485",5,"4,26","28,4","R$ 4,26 (28,40%)","R$ 4,26 (28,40%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
jPi9YvW4TzOKddfuJVmQsw,patriciasafh@hotmail.com,Admin,Fatia Torta Alemã,,1,44,"144,32","33,8664516129",,,,"34,3277773256", (),"1,2992208485",5,,, (),,"636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
s7IUC2EeS7GdEzzbxv1CUg,nilvanelopes@hotmail.com,Admin,BURGUER X TUDO			,43,1,44,"144,32","33,8664516129","22,4060588235","22,4060588235","52,1071135431","34,3277773256","R$ 22,41 (52,11%)","1,2992208485",5,"18,4439411765","42,8928864569","R$ 18,44 (42,89%)","R$ 18,44 (42,89%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
mwYAwzDJR.e6t4aOL2.oRg,nilvanelopes@hotmail.com,Admin,"BURGUER X BACON			
",35,1,44,"144,32","33,8664516129","16,5581882353","16,5581882353","47,3091092437","34,3277773256","R$ 16,56 (47,31%)","1,2992208485",5,"16,6918117647","47,6908907563","R$ 16,69 (47,69%)","R$ 16,69 (47,69%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
8vIL0SKYRsSiXGxG0twA2g,nilvanelopes@hotmail.com,Admin,"BURGUER X KILÃO			
",83,1,44,"144,32","33,8664516129","32,9966588235","32,9966588235","39,7550106308","34,3277773256","R$ 33,00 (39,76%)","1,2992208485",5,"45,8533411765","55,2449893692","R$ 45,85 (55,24%)","R$ 45,85 (55,24%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
NYAl-OHFRta0-BhmpZEquQ,nilvanelopes@hotmail.com,Admin,X SALADA			,30,1,44,"144,32","33,8664516129","10,8150588235","10,8150588235","36,0501960784","34,3277773256","R$ 10,82 (36,05%)","1,2992208485",5,"17,6849411765","58,9498039216","R$ 17,68 (58,95%)","R$ 17,68 (58,95%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
rFedpIr3TL6n5q7p1d8fAQ,nilvanelopes@hotmail.com,Admin,"X GALINHA ESPECIAL			
",38,1,44,"144,32","33,8664516129","16,4777176471","16,4777176471","43,3624148607","34,3277773256","R$ 16,48 (43,36%)","1,2992208485",5,"19,6222823529","51,6375851393","R$ 19,62 (51,64%)","R$ 19,62 (51,64%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
OlAOCLUMR-SRSM7vakrUrQ,nilvanelopes@hotmail.com,Admin,"X CORAÇÃO			
",40,1,44,"144,32","33,8664516129","20,2356588235","20,2356588235","50,5891470588","34,3277773256","R$ 20,24 (50,59%)","1,2992208485",5,"17,7643411765","44,4108529412","R$ 17,76 (44,41%)","R$ 17,76 (44,41%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
UzsrY.otQQe-iPm6x8D3nQ,nilvanelopes@hotmail.com,Admin,"X CALABRESA			
",37,1,44,"144,32","33,8664516129","17,9686588235","17,9686588235","48,5639427663","34,3277773256","R$ 17,97 (48,56%)","1,2992208485",5,"17,1813411765","46,4360572337","R$ 17,18 (46,44%)","R$ 17,18 (46,44%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
BEtKNE3FSw2QkTEpMkop-w,nilvanelopes@hotmail.com,Admin,"DOG FRANGO 			
",33,1,44,"144,32","33,8664516129","10,9565983148","10,9565983148","33,2018130752","34,3277773256","R$ 10,96 (33,20%)","1,2992208485",5,"20,3934016852","61,7981869248","R$ 20,39 (61,80%)","R$ 20,39 (61,80%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
a-5P-gxbtRXqMs0pXmeZi8A,nilvanelopes@hotmail.com,Admin,"DOG TRADICIONAL			
",30,1,44,"144,32","33,8664516129","9,7434791716","9,7434791716","32,4782639053","34,3277773256","R$ 9,74 (32,48%)","1,2992208485",5,"18,7565208284","62,5217360947","R$ 18,76 (62,52%)","R$ 18,76 (62,52%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
re3HDVe1T5m1b81KjTdzDw,nilvanelopes@hotmail.com,Admin,"DOG 4 QUEIJOS			
",36,1,44,"144,32","33,8664516129","14,4075706749","14,4075706749","40,0210296524","34,3277773256","R$ 14,41 (40,02%)","1,2992208485",5,"19,7924293251","54,9789703476","R$ 19,79 (54,98%)","R$ 19,79 (54,98%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
WA64hTZxRb6mV6UQNqICWg,nilvanelopes@hotmail.com,Admin,"DOG CALABRESA			
",35,1,44,"144,32","33,8664516129","11,0610427593","11,0610427593","31,6029793122","34,3277773256","R$ 11,06 (31,60%)","1,2992208485",5,"22,1889572407","63,3970206878","R$ 22,19 (63,40%)","R$ 22,19 (63,40%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
WI53.EBVSfCC3tuRuwVbCg,nilvanelopes@hotmail.com,Admin,"DOG CORAÇÃO			
",36,1,44,"144,32","33,8664516129","15,1685983148","15,1685983148","42,134995319","34,3277773256","R$ 15,17 (42,13%)","1,2992208485",5,"19,0314016852","52,865004681","R$ 19,03 (52,87%)","R$ 19,03 (52,87%)","636,9733969697","636,9733969697","636,9733969697","636,9733969697",,,,,,,,,,,,,,
